
!Melk og melkeprodukter

?Melk og melkebasert drikke - 14
Geitmelk, langtidsholdbar
Helmelk, 3,5 % fett, laktosefri
Helmelk, 3,5 % fett, Tine
Helmelk, 4 % fett, Q-meieriene
Helmelk, 4,1 % fett, økologisk
Helmelk, uspesifisert
Kaffemelk, 3,5 % fett
Kakao, med lettmelk, tilberedt
Lettmelk, 0,5 % fett, vitamin D, laktosefri
Lettmelk, 0,5 % fett, vitamin D, Q-meieriene
Lettmelk, 0,5 % fett, vitamin D, Tine
Lettmelk, 0,5 % fett, vitamin D, uspesifisert
Lettmelk, 0,7 % fett, økologisk
Lettmelk, 1 % fett, uspesifisert
Lettmelk, 1,0 % fett, laktosefri
Lettmelk, 1,0 % fett, laktoseredusert
Lettmelk, 1,0 % fett, Q-meieriene
Lettmelk, 1,0 % fett, Tine
Lettmelk, 1,2 % fett, langtidsholdbar
Lettmelk, 1,2 % fett, økologisk
Lettmelk, kakao, vitamin D
Lettmelk, uspesifisert
Melk, uspesifisert
Milkshake, sjokoladesmak
Sjokolademelk, av pulver og lettmelk
Sjokolademelk, Litago
Sjokolademelk, Sjokomelk
Sjokolademelk, uten tilsatt sukker, Litago Uten
Skummet melk, Styrk
Skummet melk, Tine
Syrnet melk, blåbær, laktosefri, Biola
Syrnet melk, blåbær, mager, Biola
Syrnet melk, blåbær/bringebær, BioQ
Syrnet melk, bringebær, Biola
Syrnet melk, jordbær, Biola
Syrnet melk, Kefir, med smak, Q-meieriene
Syrnet melk, Kulturmjølk
Syrnet melk, naturell, Biola
Syrnet melk, rødbete/eple/lime, Biola
Syrnet melk, Skumma Kulturmjølk
Syrnet melk, økologisk, Kefir, Tine

?Yoghurt - 35
Skyr, banan
Skyr, bringebær
Skyr, med smak, kunstig søtet
Syrnet, tyknet havreprodukt
Yoghurt, blåbær, 0 % fett, Yoplait
Yoghurt, jordbær, Q-meieriene
Yoghurt, jordbær, Tine
Yoghurt, med müsli og skogsbær, Go Morgen
Yoghurt, naturell
Yoghurt, naturell, laktosefri
Yoghurt, naturell, økologisk
Yoghurt, vanilje
Yoghurt, vanilje, 0 % fett, Yoplait
Yoghurt, vanilje, laktosefri

?Fløte, rømme, fløteerstatning - 15
Crème Fraîche, 35 % fett
Dessert-topping på boks
Husholdningshvitt, flytende
Kaffefløte, 10 % fett
Kaffehvitt
Kaffehvitt, pulver, Coffeemate
Krem, pisket, på boks
Kremfløte, 37 % fett
Kremfløte, 37 % fett, laktosefri
Kvarg, 1 % fett, Kesam
Kvarg, 7 % fett, Kesam
Lettrømme, 10 % fett
Lettrømme, 18 % fett
Lettrømme, 18 % fett, økologisk
Matfløte, 18 % fett
Matlagingsprodukt, av havre, 13 % fett
Matlagingsprodukt, av soya, 17 % fett
Matlagingsprodukt, whipping
Rømmedressing, med urter
Seterrømme, 35 % fett
Syrnet havreprodukt til matlaging, 15 % fett

?Ost - 21
Ost, ekstra fet
Brie, hvitmuggost
Cheddar, gulost
Crème Chérie, mykost
Geitost, hvit, Balsfjord
Gorgonzola, blåmuggost
Goudaost
Gruyere, ost
Gräddost
Manchego, ost
Mascarpone, kremost
Norzola, blåmuggost
Ridderost
Roquefort, blåmuggost
Selbu blå, blåmuggost
Selbu blå, blåmuggost, økologisk
Stilton, blåmuggost
Østavind, gulost
Ost, helfet
Brunost, uspesifisert
Camembert, hvitmuggost
Chevre, geitost, naturell
Edamer, gulost
Feta, ost med geitmelk
Fløtemysost, brunost
Geitost, brunost
Geitost, hvit, Kvitlin
Geitost, smørbar, dill, Snøfrisk
Geitost, smørbar, kantarell, Snøfrisk
Geitost, smørbar, naturell, Snøfrisk
Geitost, smørbar, rødløk og timian, Snøfrisk
Gudbrandsdalsost, brunost
Gulost, uspesifisert
Halloumi, ost
Jarlsberg, gulost
Kremost, krydder
Kremost, naturell
Kremost, pepper
Kremost, Philadelphia
Kremost, urter
Mozzarella, norsk
Normanna, blåmuggost
Norvegia, gulost
Norvegia, gulost, fyldig
Norvegia, gulost, vellagret
Norvegia, gulost, økologisk
Nøkkelost
Paneer, ost
Parmesan, ost
Pizzaost, revet
Port Salut, kittmodnet ost
Raclette, ost
Sveitserost, gulost
Taffelost, tomat
Ost, halvfet, mager
Baconost, smørbar
Cottage Cheese
Fløtemysost, brunost, lett
Gamalost
Gomme, Namdal
Gudbrandsdalsost, brunost, lett
Jarlsberg, gulost, lett
Kremost, lett, Philadelphia
Magerost, smørbar, 10 % fett
Magerost, smørbar, 3 % fett
Magerost, smørbar, 7 % fett
Mozzarella, i lake, importert
Mozzarella, lett, norsk
Norvegia, gulost, lett
Nøkkelost, lett
Prim
Prim, lett
Prim, med jern, Sprett
Pultost, Hedemark
Pultost, Løiten
Ricotta, ferskost
!Egg

?Egg, rå - 90
Egg, rå
Egg, økologisk, rå
Eggedosis
Eggehvite, rå
Eggeplomme, rå

?Egg, tilberedt - 4
Egg, kokt
Egg, stekt i fett
Egg, økologisk, kokt
Egg, økologisk, stekt
Eggehvite, kokt
Eggeplomme, kokt
Eggerøre, stekt i fett
Eggerøre, stekt uten fett
Omelett, stekt i fett
Omelett, stekt uten fett

!Fjørfe og kjøtt

?Fjørfe - 8
Fjørfe, rå
And, kjøtt med skinn, rå
And, kjøtt uten skinn, rå
Gås, kjøtt med skinn, rå
Gås, kjøtt uten skinn, rå
Høne, bryst, filet, uten skinn, rå
Høne, kjøtt med skinn, rå
Høne, kjøtt uten skinn, rå
Kalkun, bryst, filet, uten skinn, rå
Kalkun, kjøtt med skinn, rå
Kalkun, kjøtt uten skinn, rå
Kylling, filet, uten skinn, rå
Kylling, hel, med skinn, landkylling, rå
Kylling, hel, med skinn, rå
Kylling, hel, uten skinn, rå
Kylling, lår (overlår og lårklubbe), med skinn, rå
Kylling, lår (overlår og lårklubbe), uten skinn, rå
Kylling, lårklubbe (underlår), med skinn, rå
Kylling, lårklubbe (underlår), uten skinn, rå
Kylling, overlår (lår uten lårklubbe), med skinn, rå
Kylling, overlår (lår uten lårklubbe), uten skinn, rå
Kyllingskinn, rå
Rype, kjøtt, rå
?Fjørfe, tilberedt - 5
And, kjøtt med skinn, ovnsstekt
And, kjøtt uten skinn, ovnsstekt
Gås, kjøtt med skinn, ovnsstekt
Gås, kjøtt uten skinn, ovnsstekt
Høne, filet, kokt
Høne, kjøtt med skinn, kokt
Kalkun, brystfilet, uten skinn, ovnsstekt
Kalkun, kjøtt med skinn, ovnsstekt
Kalkun, kjøtt uten skinn, ovnsstekt
Kylling, filet, kokt
Kylling, filet, stekt i fett
Kylling, hel, med skinn, landkylling, ovnsstekt
Kylling, hel, med skinn, ovnsstekt
Kylling, hel, uten skinn, ovnsstekt
Kylling, lår (overlår og lårklubbe), med skinn, ovnsstekt
Kylling, lår (overlår og lårklubbe), uten skinn, ovnsstekt
Kylling, lårklubbe (underlår), med skinn, ovnsstekt
Kylling, lårklubbe (underlår), uten skinn, ovnsstekt
Kylling, overlår (lår uten lårklubbe), med skinn, ovnsstekt
Kylling, overlår (lår uten lårklubbe), uten skinn, ovnsstekt
Rype, kjøtt, ovnsstekt

?Lam, får - 10
Lam, får, rå
Lam, bogstek, rå
Lam, fett fra lammekjøtt, rå
Lam, flatbiff, rå
Lam, fårikålkjøtt, rå
Lam, grytekjøtt, rå
Lam, indrefilet, rå
Lam, kotelett og sadel, kjøtt med fettrand, rå
Lam, kotelett og sadel, kjøtt uten fettrand, rå
Lam, lår med mørbrad, rå
Lam, lår, stek, rå
Lam, ribbe, side med ben, rå
Lam, sadel, rå
Lam, ytrefilet, rå
Pinnekjøtt, råvare
Sau, fårekjøtt, lettsaltet, rå
Lam, får, tilberedt
Lam, kotelett, stekt
Lam, lårstek med mørbrad, ovnsstekt

?Storfe, kalv - 5
Storfe, kalv, rå
Kalv, koteletter, rå
Kalv, stek, rå
Storfe, bankekjøtt, rå
Storfe, bogstek, rå
Storfe, entrecôte, rå
Storfe, fett fra storfekjøtt, rå
Storfe, flatbiff, rå
Storfe, høyrygg, rå
Storfe, indrefilet, rå
Storfe, kjøtt, rå
Storfe, mørbrad, rå
Storfe, rundstek, rå
